geneId	geneSymbol	DSI	DPI	PLI	protein_class_name	protein_class	NofDiseases	NofPmids
    56270	WDR45B	0.76	0.269	0.15624			  19	    3
    56271	BEX4	0.76	0.231	0.67195			  15	    7
    56286	DAD1P1	1	0.038				   3	    1
    56287	GKN1	0.628	0.615	1.1309e-06			  55	   43
    56288	PARD3	0.608	0.615	0.95577			  68	   53
    56300	IL36G	0.743	0.346	0.00011765			  17	   10
    56301	SLC7A10	0.743	0.423	0.00013879	Transporter	DTO_05007405	  20	   18
    56302	TRPV5	0.663	0.538	2.6365e-14	Ion channel	DTO_01300327	  41	   33
    56311	ANKRD7	0.89	0.346	4.2975e-06			   3	    3
    56339	METTL3	0.585	0.538	1.799e-07			  79	   55
    56341	PRMT8	0.743	0.231	0.98023	Epigenetic regulator	DTO_05007378	  19	    9
    56342	PPAN	0.729	0.577	1.7244e-12			  18	   16
    56413	LTB4R2	0.631	0.615	1.3821e-05	G-protein coupled receptor	DTO_02300001	  49	   31
    56474	CTPS2	0.839	0.077	0.81923	Enzyme	DTO_05007624	   8	    4
    56475	RPRM	0.743	0.115	0.14925			  16	   13
    56476	ABCB10P1	0.839	0.231				   9	   13
    56477	CCL28	0.587	0.769	0.051599			  85	   72
    56478	EIF4ENIF1	0.76	0.192	0.99999			  14	    5
    56479	KCNQ5	0.686	0.5	0.98011	Ion channel	DTO_01300327	  35	   24
    56521	DNAJC12	0.705	0.423	2.0723e-06			  35	   14
    56547	MMP26	0.65	0.615	5.3574e-11	Enzyme	DTO_05007624	  58	   43
    56548	CHST7	0.821	0.154	0.068651			   6	    2
    56603	CYP26B1	0.666	0.5	0.97987	Enzyme	DTO_05007624	  36	   23
    56604	TUBB7P	1	0.115				   1	    1
    56605	ERO1B	0.89	0.192	2.7587e-09	Enzyme	DTO_05007624	   4	    5
    56606	SLC2A9	0.619	0.731	6.9451e-10	Transporter	DTO_05007405	  74	  131
    56616	DIABLO	0.555	0.692	2.5722e-06			 108	  105
    56623	INPP5E	0.561	0.615	0.0031048			 153	   31
    56624	ASAH2	0.716	0.538	0.0042718			  26	   22
    56647	BCCIP	0.705	0.385	0.0078502			  32	   12
    56648	EIF5A2	0.603	0.462	0.00021146	Nucleic acid binding	DTO_05007557	  67	   54
    56649	TMPRSS4	0.628	0.385	1.2055e-08	Enzyme	DTO_05007624	  55	   42
    56650	CLDND1	0.861	0.192	0.16354			   8	    4
    56651	LINC00470	0.78	0.077				  14	    5
    56652	TWNK	0.516	0.692	0.0032311	Enzyme	DTO_05007624	 245	  136
    56654	NPDC1	0.711	0.423	0.02958			  25	   16
    56655	POLE4	0.653	0.538	0.00069897	Enzyme	DTO_05007624	  41	   40
    56658	TRIM39	0.792	0.462	0.99474			   9	    7
    56659	KCNK13	0.821	0.231	0.05263	Ion channel	DTO_01300327	   9	    5
    56660	KCNK12	1	0.077	0.91853	Ion channel	DTO_01300327	   1	    1
    56664	VTRNA1-1	0.931	0.077				   2	    3
    56666	PANX2	0.736	0.5	4.4188e-06	Ion channel	DTO_01300327	  14	    9
    56667	MUC13	0.633	0.5	0.0024356			  54	   27
    56670	SUCNR1	0.647	0.577	0.00076877	G-protein coupled receptor	DTO_02300001	  48	   27
    56672	AKIP1	0.705	0.308	1.1363e-05			  29	   19
    56674	TMEM9B			0.53075			   1	    1
    56675	NRIP3			2.219e-08	Enzyme	DTO_05007624	   2	    2
    56681	SAR1A	0.743	0.538	0.37178			  25	   24
    56683	CFAP298	0.678	0.5	1.1187e-06			  45	    2
    56704	JPH1	0.705	0.269	0.76731			  29	   11
    56729	RETN	0.454	0.808	0.036545			 302	  478
    56731	SLC2A4RG	0.615	0.692	0.21856	Transcription factor	DTO_05007542	  66	   68
    56751	BARHL1	0.805	0.308	0.14582	Transcription factor	DTO_05007542	   8	    3
    56776	FMN2	0.61	0.538	0.99772			  88	   18
    56829	ZC3HAV1	0.729	0.462	2.3159e-05			  23	   22
    56832	IFNK	0.751	0.385	9.0615e-10			  13	    4
    56833	SLAMF8	0.839	0.154	5.341e-06			  10	    5
    56834	GPR137	0.686	0.231	0.66798	G-protein coupled receptor	DTO_02300001	  32	   15
    56848	SPHK2	0.546	0.731	1.28e-07	Kinase	DTO_03300101	 140	   92
    56849	TCEAL7	0.792	0.231	0.4847	Transcription factor	DTO_05007542	  15	   10
    56851	EMC7			0.86665			   1	    1
    56852	RAD18	0.691	0.346	1.5787e-08			  38	   29
    56853	CELF4	0.743	0.385	0.99817			  25	   17
    56882	CDC42SE1	0.89	0.231	0.0035427			   5	    4
    56884	FSTL5	0.716	0.192	1.4042e-06	Enzyme modulator	DTO_05007584	  25	   10
    56886	UGGT1	0.682	0.385	5.1934e-10	Enzyme	DTO_05007624	  32	   37
    56888	KCMF1	0.839	0.115	0.97719			  13	    6
    56889	TM9SF3	0.861	0.154	0.99999	Transporter	DTO_05007405	   6	    3
    56890	MDM1	1	0.038	4.7231e-12			   2	    2
    56891	LGALS14	0.695	0.423	0.0002747	Signaling	DTO_05007599	  35	   30
    56892	TCIM	0.636	0.5	0.0086883			  49	   21
    56893	UBQLN4	0.805	0.308	0.98252			  11	    8
    56894	AGPAT3	0.931	0.038	0.99933			   6	    4
    56895	AGPAT4	0.89	0.115	0.1021			   5	    4
    56896	DPYSL5	0.644	0.5	0.99991	Enzyme	DTO_05007624	  57	   25
    56897	WRNIP1	0.931	0.115	0.024592	Enzyme	DTO_05007624	   2	    2
    56898	BDH2	0.7	0.462	8.5318e-08			  26	   11
    56899	ANKS1B	0.686	0.423	0.99998	Receptor	DTO_05007575	  43	   28
    56901	NDUFA4L2	0.736	0.346	0.086367	Enzyme	DTO_05007624	  19	    8
    56902	PNO1	0.564	0.615	0.22652			  99	  131
    56904	SH3GLB2	0.805	0.154	0.0014857			  10	    3
    56906	THAP10	0.89	0.077	0.045791			   4	    2
    56907	SPIRE1	1	0.038	0.042486	Cellular structure	DTO_05007530	   5	    5
    56910	STARD7	0.769	0.231	0.47179			  12	    8
    56911	MAP3K7CL	0.751	0.192	8.3352e-08			  15	    8
    56912	IFT46	1	0.038	0.16822			   1	    1
    56913	C1GALT1	0.67	0.538	0.76313			  44	   38
    56914	OTOR	0.805	0.154	0.0048775			  22	    9
    56915	EXOSC5	0.76	0.231	0.0040091	Enzyme	DTO_05007624	  18	    6
    56916	SMARCAD1	0.656	0.423	1	Enzyme	DTO_05007624	  54	   19
    56918	C2orf83	0.89	0.115	6.7173e-06			   5	    4
    56919	DHX33	0.751	0.192	9.1366e-06	Enzyme	DTO_05007624	  16	    7
    56920	SEMA3G	0.931	0.115	6.2569e-18	Signaling	DTO_05007599	   7	    5
    56922	MCCC1	0.7	0.308	4.0152e-12	Enzyme	DTO_05007624	  42	   34
    56923	NMUR2	0.751	0.423	0.00051924	G-protein coupled receptor	DTO_02300001	  18	   13
    56924	PAK6	0.729	0.385	4.3077e-05			  24	   18
    56925	LXN	0.633	0.615	1.8254e-06			  63	   53
    56926	NCLN	0.931	0.115	0.7551			   3	    2
    56928	SPPL2B	0.861	0.192		Enzyme	DTO_05007624	   5	    5
    56929	FEM1C	0.931	0.154	0.62927			   2	    1
    56931	DUS3L			2.1445e-11			   1	    1
    56934	CA10	0.705	0.5	0.56746			  26	   30
    56935	SMCO4			0.00019629			   3	    3
    56937	PMEPA1	0.633	0.462	0.93577			  55	   36
    56938	ARNTL2	0.644	0.654	6.0435e-10	Transcription factor	DTO_05007542	  41	   50
    56940	DUSP22	0.659	0.615	0.0093421			  40	   27
    56941	HMCES	0.931	0.192	1.9468e-07			   2	    2
    56942	CMC2	0.792	0.192	0.1991			   9	    6
    56943	ENY2	0.821	0.154	0.87471			  12	    5
    56944	OLFML3	0.89	0.154	5.6198e-08	Cellular structure	DTO_05007530	   6	    5
    56945	MRPS22	0.638	0.5	1.4768e-05			  78	   17
    56946	EMSY	0.628	0.423	1			  52	   47
    56947	MFF	0.705	0.462	0.065397			  44	   19
    56949	XAB2	0.743	0.308	0.97281	Nucleic acid binding	DTO_05007557	  15	    5
    56950	SMYD2	0.628	0.538	2.4631e-06	Epigenetic regulator	DTO_05007378	  54	   28
    56952	PRTFDC1	0.805	0.385	2.3671e-13	Enzyme	DTO_05007624	  28	   11
    56953	NT5M	1	0.077	1.0052e-08			   1	    1
    56954	NIT2	0.89	0.154	1.1471e-17			   5	    3
    56955	MEPE	0.628	0.654	0.0086273			  53	   48
    56956	LHX9	0.805	0.231	0.98062	Nucleic acid binding	DTO_05007557	   9	    2
    56957	OTUD7B	0.76	0.192	0.011339	Enzyme	DTO_05007624	  18	    9
    56963	RGMA	0.656	0.692	0.16472			  43	   35
    56964	WDR93	1	0.038	4.0651e-17			   1	    0
    56965	PARP6	0.821	0.154	0.99996			  12	    7
    56970	ATXN7L3	0.89	0.077	0.99892			   8	    4
    56971	CEACAM19	0.78	0.308	6.6095e-10			  12	    8
    56975	FAM20C	0.578	0.731	0.31465			 116	   71
    56977	STOX2			0.48409			   3	    3
    56978	PRDM8	0.678	0.462	0.77626			  39	    6
    56979	PRDM9	0.686	0.5	4.8301e-27			  27	   16
    56980	PRDM10	0.76	0.385	0.15304	Transcription factor	DTO_05007542	  19	    9
    56981	PRDM11	0.839	0.231	0.97355			  13	    9
    56983	POGLUT1	0.691	0.385	1.5575e-08			  36	   17
    56984	PSMG2	0.839	0.115	2.3824e-07			  13	    8
    56985	ADPRM			0.00039545			   1	    1
    56986	DTWD1	1	0.038	2.8135e-10			   1	    1
    56987	BBX	0.839	0.231	0.51752			  16	   13
    56990	CDC42SE2	0.76	0.231	0.76835			  14	   14
    56992	KIF15	0.617	0.654	9.5235e-25	Cellular structure	DTO_05007530	  98	   20
    56994	CHPT1	0.474	0.846	0.00024252	Enzyme	DTO_05007624	 253	  366
    56995	TULP4	0.89	0.231	1			   7	    6
    56996	SLC12A9	0.454	0.769	1.1806e-15	Transporter	DTO_05007405	 280	  486
    56997	COQ8A	0.674	0.385	9.2856e-11	Kinase	DTO_03300101	  64	   28
    56998	CTNNBIP1	0.663	0.423	0.024772			  42	   26
    56999	ADAMTS9	0.633	0.692	1.0004e-06	Enzyme	DTO_05007624	  53	   40
    57001	SDHAF3	0.821	0.192	0.0026353			   6	    4
    57002	YAE1			0.001499			   1	    1
    57003	CCDC47	0.678	0.462	6.1333e-08			  55	    3
    57007	ACKR3	0.428	0.885	0.39134	G-protein coupled receptor	DTO_02300001	 400	  629
    57008	RLFP1	0.769	0.423				  10	    5
    57010	CABP4	0.711	0.154	1.6786e-10			  29	   11
    57016	AKR1B10	0.546	0.769	7.5723e-09	Enzyme	DTO_05007624	 130	  111
    57017	COQ9	0.7	0.423	5.5253e-06			  41	   19
    57018	CCNL1	0.769	0.385	0.99575	Enzyme modulator	DTO_05007584	  14	   10
    57019	CIAPIN1	0.691	0.385	0.0019035			  33	   22
    57020	VPS35L	0.931	0.077	2.2319e-09			   3	    3
    57026	PDXP	0.533	0.731	0.25559	Enzyme	DTO_05007624	 149	  323
    57030	SLC17A7	0.636	0.308	0.99988	Transporter	DTO_05007405	  79	   50
    57035	RSRP1	0.89	0.231	4.3086e-14			  13	    6
    57038	RARS2	0.663	0.462	7.7352e-14			  57	   24
    57042	IBD7	1	0.038				   5	    3
    57044	IDDM18	1	0.115				   1	    1
    57045	TWSG1	0.621	0.692	0.0061123			  57	   53
    57047	PLSCR2	1	0.077	1.1863e-06	Transporter	DTO_05007405	   1	    1
    57048	PLSCR3	1	0.077		Transporter	DTO_05007405	   1	    1
    57050	UTP3	0.839	0.115	1.9374e-05	Nucleic acid binding	DTO_05007557	   9	    3
    57053	CHRNA10	1	0.077	4.7867e-10	Ion channel	DTO_01300327	   1	    1
    57054	DAZ3	0.821	0.154		Nucleic acid binding	DTO_05007557	  10	    4
    57055	DAZ2	0.821	0.115	0.288	Nucleic acid binding	DTO_05007557	  10	    8
    57057	TBX20	0.663	0.346	0.97302	Transcription factor	DTO_05007542	  45	   37
    57060	PCBP4	0.523	0.808	0.0023713	Enzyme	DTO_05007624	 147	  193
    57061	HYMAI	0.67	0.538				  61	   12
    57062	DDX24			0.68465			   2	    2
    57082	KNL1	0.644	0.615	0.78348			  58	   19
    57084	SLC17A6	0.678	0.5	0.16199	Transporter	DTO_05007405	  43	   36
    57085	AGTRAP	0.89	0.115	0.18842			   8	    8
    57088	PLSCR4	0.722	0.462	1.8979e-06	Transporter	DTO_05007405	  18	   18
    57091	CASS4	0.722	0.231	0.36682			  19	    9
    57092	PCNP	0.839	0.192	0.78553			  11	    4
    57094	CPA6	0.716	0.346	4.3984e-17	Enzyme	DTO_05007624	  29	   12
    57095	PITHD1			0.0080936			   1	    1
    57096	RPGRIP1	0.553	0.654	1.2632e-23	Enzyme modulator	DTO_05007584	 121	   52
    57097	PARP11	0.931	0.115	6.1763e-09			   4	    3
    57099	AVEN	0.76	0.231	2.7422e-09			  17	    6
    57101	ANO2	0.751	0.346	1.7082e-22	Ion channel	DTO_01300327	  20	   12
    57102	C12orf4	0.691	0.308	1.0655e-05			  49	    7
    57103	TIGAR	0.599	0.692	0.7348			  71	   48
    57104	PNPLA2	0.511	0.846	0.0041069	Enzyme	DTO_05007624	 199	  218
    57105	CYSLTR2	0.633	0.538	9.9817e-05	G-protein coupled receptor	DTO_02300001	  60	   37
    57107	PDSS2	0.626	0.577	4.3743e-08			  83	   46
    57108	KMT5AP1	0.716	0.423				  25	   11
    57109	REXO4	0.89	0.115	8.7916e-07			   3	    2
    57110	PLAAT1	0.711	0.462	0.00025029			  21	   19
    57111	RAB25	0.628	0.385	1.1227e-07			  53	   49
    57113	TRPC7	0.839	0.115	0.00019479	Ion channel	DTO_01300327	   8	    4
    57115	PGLYRP4	0.78	0.231	2.9387e-15			  11	    7
    57116	ZNF695	0.805	0.154	0.00030547			   7	    3
    57117	INTS12	0.89	0.077	0.7537			  10	   12
    57118	CAMK1D	0.743	0.423	0.9962	Kinase	DTO_03300101	  28	   25
    57119	EPPIN			7.4025e-05			   1	    1
    57120	GOPC	0.561	0.654	0.00084252			 103	  101
    57121	LPAR5	0.751	0.385	0.051408	G-protein coupled receptor	DTO_02300001	  23	   11
    57122	NUP107	0.595	0.5	2.5555e-09	Transporter	DTO_05007405	  98	   13
    57124	CD248	0.615	0.577	0.059017			  76	   69
    57125	PLXDC1	0.716	0.385	1.3423e-07			  25	   14
    57126	CD177	0.595	0.654				  75	   73
    57127	RHBG			1.0751e-13	Transporter	DTO_05007405	   1	    1
    57128	LYRM4	0.736	0.385	0.19951			  19	   10
    57129	MRPL47	1	0.115	0.00042814	Nucleic acid binding	DTO_05007557	   1	    1
    57130	ATP13A1	0.931	0.077	0.98939			   3	    3
    57132	CHMP1B	0.736	0.462	0.73182	Transporter	DTO_05007405	  24	   27
    57134	MAN1C1	0.805	0.308	0.20933	Chaperone	DTO_05007613	  11	    9
    57135	DAZ4	0.861	0.154		Nucleic acid binding	DTO_05007557	   8	    5
    57136	APMAP	0.805	0.231	9.3261e-11			  12	    7
    57139	RGL3			9.9866e-32	Enzyme modulator	DTO_05007584	   6	    6
    57140	RNPEPL1	1	0.077	4.124e-05			   6	    2
    57142	RTN4	0.621	0.692	0.45318			  71	   64
    57143	ADCK1	0.89	0.192	9.4776e-15	Kinase	DTO_03300101	   8	    8
    57144	PAK5	0.631	0.462	0.99977	Kinase	DTO_03300101	  52	   35
    57146	TMEM159	0.89	0.077	0.0034061			   5	    1
    57147	SCYL3	0.931	0.077	0.28151	Kinase	DTO_03300101	   2	    1
    57148	RALGAPB	0.659	0.577	1			  43	   30
    57149	LYRM1			3.7249e-09			   2	    2
    57150	SMIM8	1	0.038	0.0055617			   1	    1
    57152	SLURP1	0.56	0.654	0.25934			 105	   79
    57153	SLC44A2	0.743	0.462	0.00011917	Transporter	DTO_05007405	  21	   21
    57154	SMURF1	0.595	0.615	0.6118	Enzyme	DTO_05007624	  70	   52
    57156	TMEM63C	1	0.077	0.24344			   4	    4
    57157	PHTF2	1	0.077	0.00017719	Transcription factor	DTO_05007542	   7	   11
    57158	JPH2	0.736	0.154	4.5187e-05			  29	   28
    57159	TRIM54	0.861	0.231	5.5065e-18			   8	    5
    57161	PELI2	0.839	0.231	0.82955			   7	    4
    57162	PELI1	0.603	0.731	0.39038			  74	   49
    57165	GJC2	0.593	0.692	0.010438	Cell-cell junction	DTO_05007527	 115	   60
    57167	SALL4	0.489	0.769	0.99997	Transcription factor	DTO_05007542	 245	  150
    57169	ZNFX1	0.78	0.192	0.99983	Enzyme	DTO_05007624	  15	    9
    57171	DOLPP1	0.931	0.077	0.17497	Enzyme	DTO_05007624	   2	    1
    57172	CAMK1G	0.839	0.154	0.00039801	Kinase	DTO_03300101	   5	    2
    57175	CORO1B	0.89	0.115	4.5885e-05	Cellular structure	DTO_05007530	   5	    3
    57176	VARS2	0.666	0.577	5.8321e-17			  37	   24
    57178	ZMIZ1	0.588	0.615	0.99937			  96	   76
    57180	ACTR3B	0.89	0.154	0.99911	Cellular structure	DTO_05007530	   4	    3
    57181	SLC39A10	0.78	0.231	0.9927	Transporter	DTO_05007405	  18	    8
    57182	ANKRD50	0.931	0.192	0.9792			   2	    2
    57184	FAM219B			0.00015708			   2	    2
    57185	NIPAL3	1	0.077	6.9573e-05	Transporter	DTO_05007405	   2	    1
    57186	RALGAPA2	0.861	0.115	3.0325e-17	Enzyme modulator	DTO_05007584	   7	    2
    57187	THOC2	0.65	0.538	1	Transcription factor	DTO_05007542	  59	   10
    57188	ADAMTSL3	0.729	0.346	1.3662e-19	Enzyme	DTO_05007624	  35	   34
    57189	DENND11	0.821	0.192	0.00028067			   7	    3
    57190	SELENON	0.575	0.692	9.7863e-10			 147	   60
    57191	VN1R1	1	0.038		G-protein coupled receptor	DTO_02300001	   1	    1
    57192	MCOLN1	0.601	0.654	0.00058027	Ion channel	DTO_01300327	 102	  103
    57194	ATP10A	0.792	0.346	0.0018269	Transporter	DTO_05007405	  10	   15
    57198	ATP8B2	1	0.077	0.0056318	Transporter	DTO_05007405	   1	    1
    57205	ATP10D	0.861	0.154	7.561e-20	Transporter	DTO_05007405	   4	    4
    57209	ZNF248	0.821	0.231	0.32621	Transcription factor	DTO_05007542	   7	    3
    57210	SLC45A4			0.00010424	Transporter	DTO_05007405	   6	    5
    57211	ADGRG6	0.666	0.385	6.6088e-05	G-protein coupled receptor	DTO_02300001	  65	   45
    57212	TP73-AS1	0.599	0.577				  65	   39
    57213	SPRYD7	0.931	0.115	0.00020923			   4	    3
    57214	CEMIP	0.617	0.615	4.4023e-17			  64	   53
    57215	THAP11	0.769	0.346	0.82624			  23	    6
    57216	VANGL2	0.588	0.615	0.84283			  78	   51
    57217	TTC7A	0.641	0.577	1.5359e-31			  59	   27
    57221	ARFGEF3	0.769	0.192	1			  13	    7
    57222	ERGIC1	0.7	0.423	0.64747			  37	    8
    57223	PPP4R3B	0.861	0.192	0.70636			   5	    5
    57224	NHSL1	1	0.115	0.46052			   1	    1
    57226	LYRM2	0.931	0.077	0.00025796			   8	    4
    57228	SMAGP	0.821	0.154	0.25441			  14	    4
    57231	SNX14	0.659	0.423	6.0711e-17	Enzyme modulator	DTO_05007584	  59	    8
    57232	ZNF630	0.89	0.269	0.000119			   4	    3
    57282	SLC4A10	0.678	0.269	0.13404	Transporter	DTO_05007405	  35	   18
    57291	DANCR	0.601	0.615				  65	   62
    57292	KIR2DL5A	0.711	0.423		Receptor	DTO_05007575	  21	   21
    57306	CUP2Q35	0.839	0.077				   5	    3
    57309	SPG14	0.89	0.192				   3	    2
    57324	TSE2	0.931	0.077				   3	    2
    57325	KAT14	0.89	0.077	1.326e-09			   4	    2
    57326	PBXIP1	0.711	0.385	9.7925e-11			  25	   12
    57332	CBX8	0.686	0.269	0.9927			  33	   23
    57333	RCN3	0.839	0.077	3.8085e-11	Calcium-binding protein	DTO_05007616	   8	    6
    57337	SENP7	0.821	0.192	0.073339	Enzyme	DTO_05007624	  17	   13
    57338	JPH3	0.608	0.538	0.99855			  90	   61
    57343	ZNF304	0.89	0.115	0.032902			   3	    2
    57348	TTYH1	0.861	0.115	0.99539	Ion channel	DTO_01300327	  10	    7
    57369	GJD2	0.705	0.5	0.19681	Cell-cell junction	DTO_05007527	  29	   34
    57379	AICDA	0.463	0.885	9.2098e-06	Enzyme	DTO_05007624	 265	  346
    57380	MRS2	0.792	0.269	1.9516e-08			  11	   12
    57381	RHOJ	0.686	0.308	0.0064012	Enzyme modulator	DTO_05007584	  38	   23
    57393	CLTRN	0.839	0.269	0.00011309			  10	    9
    57402	S100A14	0.663	0.385	0.0018638	Calcium-binding protein	DTO_05007616	  41	   30
    57403	RAB22A	0.663	0.346	0.10273			  35	   21
    57404	CYP20A1	0.821	0.154	8.8921e-17			  11	    8
    57405	SPC25	0.729	0.346	0.025506			  40	   32
    57406	ABHD6	0.751	0.385	2.2313e-05	Enzyme	DTO_05007624	  24	   14
    57407	NMRAL1	1	0.077	9.2538e-06			   4	    3
    57408	LRTM1	1	0.115	3.3678e-16			   3	    3
    57409	MIF4GD	1	0.077	6.7828e-09	Nucleic acid binding	DTO_05007557	   3	    1
    57410	SCYL1	0.582	0.769	2.5187e-08	Kinase	DTO_03300101	 104	   40
    57412	AS3MT	0.638	0.538	7.9768e-11	Enzyme	DTO_05007624	  56	   41
    57413	TMIGD3	0.839	0.077				   7	    3
    57414	RHBDD2	0.839	0.115	0.63858	Receptor	DTO_05007575	  13	    8
    57418	WDR18	0.931	0.154	0.99271			   7	    5
    57419	SLC24A3	0.7	0.423	0.87946	Transporter	DTO_05007405	  34	   26
    57446	NDRG3	0.722	0.308	0.36564	Enzyme	DTO_05007624	  24	   15
    57447	NDRG2	0.518	0.692	2.2044e-05	Enzyme	DTO_05007624	 156	  125
    57448	BIRC6	0.604	0.577	1			  69	   32
    57449	PLEKHG5	0.674	0.385	3.3605e-06			  50	   13
    57451	TENM2	0.678	0.5	1			  44	   27
    57452	GALNT16	0.821	0.115	0.00013872	Enzyme	DTO_05007624	  11	    7
    57453	DSCAML1	0.839	0.346	1			  10	    8
    57455	REXO1	0.695	0.346	0.9864	Enzyme	DTO_05007624	  30	   10
    57458	TMCC3	1	0.115	2.7391e-05			   1	    1
    57459	GATAD2B	0.593	0.654	0.99998	Nucleic acid binding	DTO_05007557	 136	   50
    57460	PPM1H	0.805	0.154	0.79216	Enzyme	DTO_05007624	  17	    6
    57462	MYORG	0.805	0.269	1.0871e-11	Enzyme	DTO_05007624	  32	   10
    57463	AMIGO1	0.931	0.077	0.98411			   5	    5
    57464	STRIP2	0.931	0.038	1.6433e-15			   5	    2
    57465	TBC1D24	0.53	0.808	1.2788e-08	Enzyme modulator	DTO_05007584	 218	   42
    57466	SCAF4	0.89	0.308	1	Nucleic acid binding	DTO_05007557	   6	    6
    57468	SLC12A5	0.57	0.654	1	Transporter	DTO_05007405	 135	   98
    57470	LRRC47	0.89	0.192	0.87056	Enzyme	DTO_05007624	   6	    3
    57471	ERMN	0.861	0.115	1.1805e-05			   4	    4
    57472	CNOT6	0.839	0.154	0.019515	Enzyme	DTO_05007624	   7	    4
    57473	ZNF512B	0.931	0.077	0.99992			   4	    7
    57474	ZNF490			0.00031512			   1	    1
    57475	PLEKHH1	1	0.077	4.6782e-09			   2	    2
    57476	GRAMD1B	0.736	0.385	0.99929			  17	   21
    57477	SHROOM4	0.7	0.5	0.99965			  42	   12
    57479	PRR12	0.716	0.385	1			  35	    5
    57480	PLEKHG1	0.89	0.115	0.012728			  15	   12
    57481	KIAA1210			0.0091034			   3	    2
    57482	CRACD	0.792	0.192	5.3193e-05			  10	    7
    57484	RNF150	0.839	0.154	0.00073035			   6	    5
    57486	NLN	0.597	0.731	3.9148e-12	Enzyme	DTO_05007624	  74	   59
    57488	ESYT2	0.89	0.154	7.7928e-06			   4	    4
    57489	ODF2L	1	0.115	5.6731e-19			   4	    3
    57491	AHRR	0.666	0.577	0.00018111	Transcription factor	DTO_05007542	  49	   47
    57492	ARID1B	0.503	0.846	1			 270	   94
    57493	HEG1	0.821	0.385	1.8858e-07			   9	    6
    57494	RIMKLB			0.59273	Nucleic acid binding	DTO_05007557	   1	    1
    57495	NWD2	1	0.038	0.98388			   1	    1
    57496	MRTFB	0.76	0.308	0.99999			  20	   12
    57497	LRFN2	0.769	0.308	0.013743			  14	   10
    57498	KIDINS220	0.534	0.769	0.073562			 145	  106
    57501	KIAA1257	0.931	0.038	1.1741e-09			   2	    1
    57502	NLGN4X	0.686	0.423	0.99267			  45	   48
    57504	MTA3	0.67	0.462	0.03435	Nucleic acid binding	DTO_05007557	  41	   36
    57505	AARS2	0.644	0.5	4.9777e-17	Nucleic acid binding	DTO_05007557	  64	   34
    57506	MAVS	0.585	0.692	6.7045e-07			  82	  141
    57507	ZNF608	0.821	0.346	0.99999			   9	    6
    57508	INTS2	0.59	0.654	0.99698			  85	  117
    57509	MTUS1	0.626	0.577	3.579e-11			  56	   32
    57510	XPO5	0.623	0.654	0.99971	Receptor	DTO_05007575	  57	   37
    57511	COG6	0.644	0.577	6.3567e-16			  62	   25
    57512	GPR158	0.678	0.423	0.00055056	G-protein coupled receptor	DTO_02300001	  35	   18
    57514	ARHGAP31	0.581	0.615	0.99999			  96	   20
    57515	SERINC1	0.931	0.115	0.0074634	Receptor	DTO_05007575	   6	    3
    57519	STARD9	0.839	0.115	1.0336e-38			  14	    5
    57520	HECW2	0.705	0.423	0.9997	Enzyme	DTO_05007624	  42	   14
    57521	RPTOR	0.628	0.692	1			  60	   54
    57522	SRGAP1	0.686	0.5	0.99845	Enzyme modulator	DTO_05007584	  29	   11
    57523	NYNRIN			1.4848e-09	Nucleic acid binding	DTO_05007557	   4	    8
    57524	CASKIN1	1	0.038	1	Receptor	DTO_05007575	   3	    1
    57526	PCDH19	0.599	0.462	0.99975			  93	   78
    57528	KCTD16	1	0.038	0.99329	Enzyme modulator	DTO_05007584	   2	    1
    57530	CGN	0.931	0.115	1.8942e-31			   2	    2
    57531	HACE1	0.601	0.692	6.0798e-06	Enzyme	DTO_05007624	  95	   30
    57532	NUFIP2	0.641	0.577	0.99891			  58	  152
    57533	TBC1D14			0.039267	Enzyme	DTO_05007624	   6	    3
    57534	MIB1	0.438	0.769	3.3574e-88	Enzyme	DTO_05007624	 329	  407
    57535	KIAA1324	0.751	0.192	7.0266e-13			  14	    5
    57536	KIAA1328			3.2984e-08			   3	    3
    57537	SORCS2	0.743	0.346	0.0031696	Transporter	DTO_05007405	  19	   18
    57538	ALPK3	0.792	0.462	8.4158e-25	Kinase	DTO_03300101	  16	   11
    57539	WDR35	0.525	0.692	1.0462e-22			 188	   29
    57540	DISP3	1	0.077	3.626e-08			   1	    1
    57541	ZNF398	0.695	0.308	0.14568	Transcription factor	DTO_05007542	  27	   17
    57542	KLHL42	0.861	0.231	0.012525			   5	    5
    57544	TXNDC16	0.861	0.154	9.949e-06			   4	    2
    57545	CC2D2A	0.532	0.692	1.6721e-27			 167	   36
    57546	PDP2	0.931	0.154	8.1837e-05	Enzyme	DTO_05007624	   3	    2
    57547	ZNF624	1	0.077	0.032471			   1	    0
    57549	IGSF9	0.839	0.154	3.4386e-12	Receptor	DTO_05007575	   8	    2
    57551	TAOK1	0.792	0.269	0.99787	Kinase	DTO_03300101	  19	   14
    57552	NCEH1	0.861	0.115	0.012968	Enzyme	DTO_05007624	   5	    6
    57553	MICAL3	0.792	0.269	0.99499			  17	   11
    57554	LRRC7	0.722	0.462	1			  26	   19
    57555	NLGN2	0.722	0.269	0.99974			  31	   17
    57556	SEMA6A	0.486	0.808	0.99976	Signaling	DTO_05007599	 211	  264
    57558	USP35	0.931	0.115	5.4853e-07	Enzyme	DTO_05007624	   4	    3
    57559	STAMBPL1	0.729	0.462	1.1971e-14	Enzyme	DTO_05007624	  16	   34
